date,value,BO
07/01/2011,7.013807182,
08/01/2011,2.874223545,
15/01/2011,1.514660552,
22/01/2011,1.514660552,
29/01/2011,1.514660552,
05/02/2011,1.514660552,
12/02/2011,12.15178208,
19/02/2011,7.751798111,
26/02/2011,5.224750839,
05/03/2011,5.224750839,
12/03/2011,10.85251736,
19/03/2011,10.85251736,
26/03/2011,5.224750839,
02/04/2011,10.68330934,
09/04/2011,10.0703373,
16/04/2011,8.803355265,
23/04/2011,7.913609704,
30/04/2011,6.192698965,
07/05/2011,6.267968956,
14/05/2011,5.734786286,
21/05/2011,5.115174034,
28/05/2011,4.920729881,
04/06/2011,4.608604044,
11/06/2011,4.515386547,
18/06/2011,5.734786286,
25/06/2011,5.115174034,
02/07/2011,5.204217987,
09/07/2011,5.277942204,
16/07/2011,5.228874227,
23/07/2011,5.526286046,
30/07/2011,5.804929917,
06/08/2011,5.922852059,
13/08/2011,6.27832367,
20/08/2011,6.307674845,
27/08/2011,6.42966236,
03/09/2011,6.36230555,
10/09/2011,6.449411874,
17/09/2011,6.404363301,
24/09/2011,6.675752176,
01/10/2011,6.910442921,
08/10/2011,6.538307553,
15/10/2011,6.993269512,
22/10/2011,7.606367925,
29/10/2011,8.328028575,
05/11/2011,8.415146061,
12/11/2011,8.15396903,
19/11/2011,8.562673894,
26/11/2011,8.951429992,
03/12/2011,8.222878066,
10/12/2011,7.806354789,
17/12/2011,9.374992273,
24/12/2011,9.034745544,
31/12/2011,9.18013707,
08/01/2012,8.293897429,
15/01/2012,6.75480905,
22/01/2012,5.959081503,
29/01/2012,5.902704315,
05/02/2012,4.262583064,
12/02/2012,2.41178249,
19/02/2012,3.375485049,
26/02/2012,5.288602255,
04/03/2012,2.982026628,
11/03/2012,7.296727457,
18/03/2012,4.97945496,
25/03/2012,4.515581067,
01/04/2012,9.456899619,
08/04/2012,9.022599425,
15/04/2012,7.866999677,
22/04/2012,6.988152458,
29/04/2012,6.553011218,
06/05/2012,6.147692247,
13/05/2012,5.904760634,
20/05/2012,5.524928535,
27/05/2012,5.634840695,
03/06/2012,5.212448982,
10/06/2012,5.063534485,
17/06/2012,4.878348377,
24/06/2012,5.145503342,
01/07/2012,5.175725743,
08/07/2012,5.289789342,
15/07/2012,5.22288133,
22/07/2012,5.572967603,
29/07/2012,5.571192359,
05/08/2012,5.772782645,
12/08/2012,6.141689771,
19/08/2012,6.078821192,
26/08/2012,5.610469331,
02/09/2012,6.524068121,
09/09/2012,7.468869664,
16/09/2012,8.080849215,
23/09/2012,8.043472364,
30/09/2012,7.797113163,
07/10/2012,8.36077566,
14/10/2012,7.926715261,
21/10/2012,8.532475365,
28/10/2012,8.551434172,
04/11/2012,7.797113163,
11/11/2012,8.53652421,
18/11/2012,8.16020831,
25/11/2012,6.847809854,
02/12/2012,7.612914963,
09/12/2012,8.256695908,
16/12/2012,7.689421249,
23/12/2012,7.226828951,
30/12/2012,6.112423589,
08/01/2013,5.560980198,6.47966853
15/01/2013,5.608554131,5.853840422
22/01/2013,5.488095965,5.58293458
29/01/2013,4.114214265,5.446227638
05/02/2013,4.7725366,4.691886882
12/02/2013,4.043177554,4.548511166
19/02/2013,8.365347323,4.100784024
26/02/2013,6.403983992,6.372322048
05/03/2013,9.03712452,6.548336026
12/03/2013,2.640684985,7.249588717
19/03/2013,4.169352688,4.945043377
26/03/2013,4.424672211,4.042794578
02/04/2013,6.669460743,4.488459637
09/04/2013,10.5148858,6.34116254
16/04/2013,10.84184327,8.870785015
23/04/2013,10.27318557,9.796942314
30/04/2013,8.157478504,9.474218959
07/05/2013,7.976986764,8.175991763
14/05/2013,6.376285518,7.560000062
21/05/2013,6.572229304,6.644092901
28/05/2013,6.448727256,6.350005511
04/06/2013,5.657157442,6.356689418
11/06/2013,5.657157442,5.865740119
18/06/2013,5.248524849,5.678429604
25/06/2013,5.489554889,5.448562263
02/07/2013,5.128733568,5.531078482
09/07/2013,5.128733568,5.407130882
16/07/2013,4.903665513,5.349001762
23/07/2013,5.202758446,5.23132922
30/07/2013,5.87167333,5.392055374
06/08/2013,5.87167333,5.83325842
13/08/2013,6.017699967,6.020185507
20/08/2013,6.270325094,6.152503493
27/08/2013,5.951023012,6.324295225
03/09/2013,6.530135661,6.170957177
10/09/2013,7.057576786,6.526487562
17/09/2013,6.58178256,7.062842306
24/09/2013,6.866420408,7.011190652
01/10/2013,6.470148363,7.065856512
08/10/2013,7.101176217,6.900284919
15/10/2013,6.605312708,7.224825873
22/10/2013,6.994434686,7.06279317
29/10/2013,6.681196067,7.240103785
05/11/2013,6.035065263,7.178546482
12/11/2013,5.94244266,6.683084099
19/11/2013,5.400615795,6.584018825
26/11/2013,5.830201531,6.239220268
03/12/2013,6.300321158,6.206187875
10/12/2013,5.503605961,6.656599568
17/12/2013,5.703434252,6.423845268
24/12/2013,5.487569748,6.293031408
31/12/2013,4.240792093,5.623574236
08/01/2014,6.43239239,4.737002757
15/01/2014,6.695955775,5.571611136
22/01/2014,5.074231961,6.228588943
29/01/2014,5.074231961,5.417088326
05/02/2014,5.422781606,4.90068499
12/02/2014,4.268803419,5.175510545
19/02/2014,4.670349992,4.56201312
26/02/2014,3.177927366,5.033843577
05/03/2014,2.681992337,4.110588664
12/03/2014,14.91891892,3.825847815
19/03/2014,14.95495495,9.519978251
26/03/2014,8.108108108,12.51965536
02/04/2014,10,8.9081492
09/04/2014,8.272259393,8.635187139
16/04/2014,13.78501576,8.605429511
23/04/2014,10.55891461,11.21164275
30/04/2014,8.884991243,10.6851701
07/05/2014,8.542622779,8.819601222
14/05/2014,8.542622779,8.244162001
21/05/2014,6.556002737,7.988192728
28/05/2014,5.933741638,6.958568427
04/06/2014,5.956351054,6.173227363
11/06/2014,5.956351054,5.96089298
18/06/2014,5.831770963,5.976732549
25/06/2014,5.690284985,5.872584561
02/07/2014,5.242405975,5.812023334
09/07/2014,6.065174736,5.508199738
16/07/2014,5.209307724,5.857196115
23/07/2014,5.316173752,5.570796026
30/07/2014,5.384875128,5.478818926
06/08/2014,5.616042034,5.633944856
13/08/2014,5.726841352,5.784030695
20/08/2014,6.033238553,5.923928537
27/08/2014,6.470949689,6.153646683
03/09/2014,6.180296944,6.435342728
10/09/2014,6.174341444,6.458465677
17/09/2014,6.114494519,6.461851943
24/09/2014,6.432897185,6.383083162
01/10/2014,5.418196367,6.58858604
08/10/2014,6.559800292,6.082015389
15/10/2014,6.206718587,6.546815127
22/10/2014,7.026589956,6.570321646
29/10/2014,7.031032886,6.98522685
05/11/2014,6.658583153,7.152771477
12/11/2014,6.310642459,6.888972876
19/11/2014,6.763763956,6.617593958
26/11/2014,6.943331213,6.727665843
03/12/2014,7.177704665,6.992870331
10/12/2014,7.177704665,7.225339137
17/12/2014,7.342245961,7.195578261
24/12/2014,8.182626379,7.317884603
31/12/2014,6.855820528,7.234841053
